,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2000,1990,1980,1970,1960
Population on 31 December,10 327 589,10 230 185,10 120 242,9 995 153,9 851 017,9 747 355,9 644 864,9 555 893,9 482 855,9 415 570,8 882 792,8 590 630,8 317 937,8 081 229,7 497 967
